relative_dir,run_id,file_count,size_bytes,has_summary,has_partial_summary,has_progress,status_file,status,row_count,expected_subject_count,subject_count,best_shared_recipe_id,best_deployable_recipe_id,best_deployable_idle_fp_per_min,best_deployable_control_recall,best_deployable_control_recall_at_2.5s,best_deployable_detection_latency_s
reports/external_short_pretrain/external_short_pretrain_beta_fullbank_smoothing_weak_20260509_114900,external_short_pretrain_beta_fullbank_smoothing_weak_20260509_114900,4,177440325,True,True,True,reports/external_short_pretrain/external_short_pretrain_beta_fullbank_smoothing_weak_20260509_114900/reports/summary.json,ok,3456,8,8,win1p5_me2_gap1_sm2,,,,,
reports/external_short_pretrain/external_short_pretrain_beta_fullbank_weak_smoke_20260508_202632,external_short_pretrain_beta_fullbank_weak_smoke_20260508_202632,4,123466,True,True,True,reports/external_short_pretrain/external_short_pretrain_beta_fullbank_weak_smoke_20260508_202632/reports/summary.json,ok,2,2,2,win1p25_me2_gap1,,,,,
reports/external_short_pretrain/external_short_pretrain_beta_lit_sanity_20260508_083237,external_short_pretrain_beta_lit_sanity_20260508_083237,400,17329192,True,True,True,reports/external_short_pretrain/external_short_pretrain_beta_lit_sanity_20260508_083237/reports/summary.json,ok,396,4,4,win2_me1,,,,,
reports/external_short_pretrain/external_short_pretrain_beta_lrtmw_weak_20260510_020300,external_short_pretrain_beta_lrtmw_weak_20260510_020300,2,3850,False,True,True,reports/external_short_pretrain/external_short_pretrain_beta_lrtmw_weak_20260510_020300/reports/partial_summary.json,running,0,8,1,,,,,,
reports/external_short_pretrain/external_short_pretrain_beta_lrtmw_weak_fix_20260510_142000,external_short_pretrain_beta_lrtmw_weak_fix_20260510_142000,4,23924027,True,True,True,reports/external_short_pretrain/external_short_pretrain_beta_lrtmw_weak_fix_20260510_142000/reports/summary.json,ok,384,8,8,win1p5_me2_sm2_lrtmw,,,,,
reports/external_short_pretrain/external_short_pretrain_beta_shared_cache_after_wang_20260507,external_short_pretrain_beta_shared_cache_after_wang_20260507,4,101422411,True,True,True,reports/external_short_pretrain/external_short_pretrain_beta_shared_cache_after_wang_20260507/reports/summary.json,ok,2240,70,70,win2_me2,,,,,
reports/external_short_pretrain/external_short_pretrain_beta_template_spatial_weak_20260509_115507,external_short_pretrain_beta_template_spatial_weak_20260509_115507,4,53102564,True,True,True,reports/external_short_pretrain/external_short_pretrain_beta_template_spatial_weak_20260509_115507/reports/summary.json,ok,1152,8,8,win1p75_me2_sm2,,,,,
reports/external_short_pretrain/external_short_pretrain_beta_trcar_tdca_smoke_20260509_115507,external_short_pretrain_beta_trcar_tdca_smoke_20260509_115507,4,802675,True,True,True,reports/external_short_pretrain/external_short_pretrain_beta_trcar_tdca_smoke_20260509_115507/reports/summary.json,ok,16,4,4,win1p75_me2_gap1,,,,,
reports/external_short_pretrain/external_short_pretrain_compare_20260507_000612,external_short_pretrain_compare_20260507_000612,4,3217508,True,True,True,reports/external_short_pretrain/external_short_pretrain_compare_20260507_000612/reports/summary.json,ok,152,,3,,,,,,
reports/external_short_pretrain/external_short_pretrain_compare_beta_s16_20260507_002300,external_short_pretrain_compare_beta_s16_20260507_002300,4,1078829,True,True,True,reports/external_short_pretrain/external_short_pretrain_compare_beta_s16_20260507_002300/reports/summary.json,ok,56,,1,,,,,,
reports/external_short_pretrain/external_short_pretrain_compare_beta_s1_20260507_002300,external_short_pretrain_compare_beta_s1_20260507_002300,4,777134,True,True,True,reports/external_short_pretrain/external_short_pretrain_compare_beta_s1_20260507_002300/reports/summary.json,ok,40,,1,,,,,,
reports/external_short_pretrain/external_short_pretrain_corrected_beta_s16_20260507_123721,external_short_pretrain_corrected_beta_s16_20260507_123721,4,1382139,True,True,True,reports/external_short_pretrain/external_short_pretrain_corrected_beta_s16_20260507_123721/reports/summary.json,ok,72,,1,,,,,,
reports/external_short_pretrain/external_short_pretrain_corrected_beta_s1_20260507_123721,external_short_pretrain_corrected_beta_s1_20260507_123721,4,778542,True,True,True,reports/external_short_pretrain/external_short_pretrain_corrected_beta_s1_20260507_123721/reports/summary.json,ok,40,,1,,,,,,
reports/external_short_pretrain/external_short_pretrain_corrected_wang2016_s1_20260507_123721,external_short_pretrain_corrected_wang2016_s1_20260507_123721,4,1886099,True,True,True,reports/external_short_pretrain/external_short_pretrain_corrected_wang2016_s1_20260507_123721/reports/summary.json,ok,72,,1,,,,,,
reports/external_short_pretrain/external_short_pretrain_cpu_smoke_all_sources_20260506_2210,external_short_pretrain_cpu_smoke_all_sources_20260506_2210,2,85976,True,False,False,reports/external_short_pretrain/external_short_pretrain_cpu_smoke_all_sources_20260506_2210/reports/summary.json,ok,6,,3,,,,,,
reports/external_short_pretrain/external_short_pretrain_fbcca_lda5_cpu_smoke_20260506_2305,external_short_pretrain_fbcca_lda5_cpu_smoke_20260506_2305,2,31213,True,False,False,reports/external_short_pretrain/external_short_pretrain_fbcca_lda5_cpu_smoke_20260506_2305/reports/summary.json,ok,2,,2,,,,,,
reports/external_short_pretrain/external_short_pretrain_fixedrank2_beta_s1_s16_20260507_133741,external_short_pretrain_fixedrank2_beta_s1_s16_20260507_133741,4,1941163,True,True,True,reports/external_short_pretrain/external_short_pretrain_fixedrank2_beta_s1_s16_20260507_133741/reports/summary.json,ok,96,,2,,,,,,
reports/external_short_pretrain/external_short_pretrain_fixedrank3_beta_s1_s16_20260507_135319,external_short_pretrain_fixedrank3_beta_s1_s16_20260507_135319,4,1941058,True,True,True,reports/external_short_pretrain/external_short_pretrain_fixedrank3_beta_s1_s16_20260507_135319/reports/summary.json,ok,96,,2,,,,,,
reports/external_short_pretrain/external_short_pretrain_fixedrank_beta_s1_s16_20260507_132858,external_short_pretrain_fixedrank_beta_s1_s16_20260507_132858,4,1941112,True,True,True,reports/external_short_pretrain/external_short_pretrain_fixedrank_beta_s1_s16_20260507_132858/reports/summary.json,ok,96,,2,,,,,,
reports/external_short_pretrain/external_short_pretrain_ridge5_beta_s16_20260507_130522,external_short_pretrain_ridge5_beta_s16_20260507_130522,4,1248143,True,True,True,reports/external_short_pretrain/external_short_pretrain_ridge5_beta_s16_20260507_130522/reports/summary.json,ok,64,,1,,,,,,
reports/external_short_pretrain/external_short_pretrain_ridge5_beta_s1_20260507_125803,external_short_pretrain_ridge5_beta_s1_20260507_125803,4,633217,True,True,True,reports/external_short_pretrain/external_short_pretrain_ridge5_beta_s1_20260507_125803/reports/summary.json,ok,32,,1,,,,,,
reports/external_short_pretrain/external_short_pretrain_ridge5_wang2016_s1_20260507_130522,external_short_pretrain_ridge5_wang2016_s1_20260507_130522,4,1717355,True,True,True,reports/external_short_pretrain/external_short_pretrain_ridge5_wang2016_s1_20260507_130522/reports/summary.json,ok,64,,1,,,,,,
reports/external_short_pretrain/external_short_pretrain_wang2016_shared_cache_20260507_180858,external_short_pretrain_wang2016_shared_cache_20260507_180858,4,133591818,True,True,True,reports/external_short_pretrain/external_short_pretrain_wang2016_shared_cache_20260507_180858/reports/summary.json,ok,2240,35,35,win3_me2,,,,,
reports/external_short_pretrain/external_short_pretrain_wang2016_shared_scan_20260507_175702,external_short_pretrain_wang2016_shared_scan_20260507_175702,2,43761,False,True,True,reports/external_short_pretrain/external_short_pretrain_wang2016_shared_scan_20260507_175702/reports/partial_summary.json,running,22,35,1,,,,,,
reports/external_short_pretrain/external_short_pretrain_ysu_an_smoke_balanced_20260510_212732,external_short_pretrain_ysu_an_smoke_balanced_20260510_212732,2,3955,False,True,True,reports/external_short_pretrain/external_short_pretrain_ysu_an_smoke_balanced_20260510_212732/reports/partial_summary.json,running,0,4,1,,,,,,
reports/external_short_pretrain/external_short_pretrain_ysu_an_smoke_balanced_fix2_20260510_214247,external_short_pretrain_ysu_an_smoke_balanced_fix2_20260510_214247,2,17973,False,True,True,reports/external_short_pretrain/external_short_pretrain_ysu_an_smoke_balanced_fix2_20260510_214247/reports/partial_summary.json,running,4,4,1,,,,,,
reports/external_short_pretrain/external_short_pretrain_ysu_an_smoke_balanced_fix3_20260510_215219,external_short_pretrain_ysu_an_smoke_balanced_fix3_20260510_215219,4,10008085,True,True,True,reports/external_short_pretrain/external_short_pretrain_ysu_an_smoke_balanced_fix3_20260510_215219/reports/summary.json,ok,144,4,4,win2_me2_sm2,,,,,
reports/external_short_pretrain/external_short_pretrain_ysu_an_smoke_balanced_fix_20260510_213642,external_short_pretrain_ysu_an_smoke_balanced_fix_20260510_213642,2,2124,False,True,True,reports/external_short_pretrain/external_short_pretrain_ysu_an_smoke_balanced_fix_20260510_213642/reports/partial_summary.json,running,0,4,0,,,,,,
reports/external_short_pretrain/external_short_pretrain_ysu_an_smoke_lrtmw_20260510_212732,external_short_pretrain_ysu_an_smoke_lrtmw_20260510_212732,2,3943,False,True,True,reports/external_short_pretrain/external_short_pretrain_ysu_an_smoke_lrtmw_20260510_212732/reports/partial_summary.json,running,0,4,1,,,,,,
reports/external_short_pretrain/external_short_pretrain_ysu_an_smoke_lrtmw_fix2_20260510_214247,external_short_pretrain_ysu_an_smoke_lrtmw_fix2_20260510_214247,2,17993,False,True,True,reports/external_short_pretrain/external_short_pretrain_ysu_an_smoke_lrtmw_fix2_20260510_214247/reports/partial_summary.json,running,4,4,1,,,,,,
reports/external_short_pretrain/external_short_pretrain_ysu_an_smoke_lrtmw_fix3_20260510_215219,external_short_pretrain_ysu_an_smoke_lrtmw_fix3_20260510_215219,4,11416544,True,True,True,reports/external_short_pretrain/external_short_pretrain_ysu_an_smoke_lrtmw_fix3_20260510_215219/reports/summary.json,ok,144,4,4,win2_me2_sm2_lrtmw,,,,,
reports/external_short_pretrain/external_short_pretrain_ysu_an_smoke_lrtmw_fix_20260510_213642,external_short_pretrain_ysu_an_smoke_lrtmw_fix_20260510_213642,2,2112,False,True,True,reports/external_short_pretrain/external_short_pretrain_ysu_an_smoke_lrtmw_fix_20260510_213642/reports/partial_summary.json,running,0,4,0,,,,,,
reports/external_short_pretrain/ysuan_channel_lrt_smoke_20260511_110755,ysuan_channel_lrt_smoke_20260511_110755,4,111558,True,True,True,reports/external_short_pretrain/ysuan_channel_lrt_smoke_20260511_110755/reports/summary.json,ok,1,1,1,win1p5_me1_lrtmw,,,,,
reports/external_short_pretrain/ysuan_channel_lrt_smoke_20260511_111342,ysuan_channel_lrt_smoke_20260511_111342,4,111944,True,True,True,reports/external_short_pretrain/ysuan_channel_lrt_smoke_20260511_111342/reports/summary.json,ok,1,1,1,win1p5_me1_lrtmw,,,,,
reports/external_short_pretrain/ysuan_full24_fbcca_ridge5_balanced_s2_20260511_150158,ysuan_full24_fbcca_ridge5_balanced_s2_20260511_150158,3,161765150,True,True,True,reports/external_short_pretrain/ysuan_full24_fbcca_ridge5_balanced_s2_20260511_150158/reports/summary.json,ok,2592,24,24,win2p5_me3,win2_me2,0.846774193548387,0.8822916666666667,0.7651041666666666,2.3307291666666665
reports/external_short_pretrain/ysuan_full24_fbcca_ridge5_lrt_s2_20260511_120724,ysuan_full24_fbcca_ridge5_lrt_s2_20260511_120724,4,187380259,True,True,True,reports/external_short_pretrain/ysuan_full24_fbcca_ridge5_lrt_s2_20260511_120724/reports/summary.json,ok,2592,24,24,win2p5_me3_sm3_lrtmw,win2_me2_sm3_lrtmw,0.8366935483870966,0.8854166666666666,0.7781250000000001,2.296875
reports/external_short_pretrain/ysuan_full_fbcca_ridge5_lrt_20260511_112151,ysuan_full_fbcca_ridge5_lrt_20260511_112151,2,96354,False,True,True,reports/external_short_pretrain/ysuan_full_fbcca_ridge5_lrt_20260511_112151/reports/partial_summary.json,running,27,24,1,,,,,,
reports/external_short_pretrain/ysuan_lrt_cache_sanity_20260511_113138,ysuan_lrt_cache_sanity_20260511_113138,2,68101,False,True,True,reports/external_short_pretrain/ysuan_lrt_cache_sanity_20260511_113138/reports/partial_summary.json,running,18,4,1,,,,,,
reports/external_short_pretrain/ysuan_lrt_cache_sanity_20260511_113821,ysuan_lrt_cache_sanity_20260511_113821,4,31760061,True,True,True,reports/external_short_pretrain/ysuan_lrt_cache_sanity_20260511_113821/reports/summary.json,ok,432,4,4,win2p5_me2_sm3_lrtmw,win2_me2_sm3_lrtmw,0.4536290322580644,0.8875,0.8218749999999999,2.25
reports/external_short_pretrain/ysuan_ns_lrt_smoke_20260511_111818,ysuan_ns_lrt_smoke_20260511_111818,4,116754,True,True,True,reports/external_short_pretrain/ysuan_ns_lrt_smoke_20260511_111818/reports/summary.json,ok,1,1,1,win1p5_me1_lrtmw,,,,,
